City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Torbay,CA,47.6666,-52.7314,61.88,55,75,7.76,broken clouds
79,Saint-Philippe,RE,-21.3585,55.7679,68.22,72,40,10.63,scattered clouds
80,Sola,VU,-13.8833,167.55,78.55,79,63,15.23,broken clouds
81,Geraldton,AU,-28.7667,114.6,66.72,32,0,8.84,clear sky
82,Haines Junction,CA,60.7522,-137.5108,40.32,96,100,3.06,overcast clouds
83,Luanda,AO,-8.8368,13.2343,74.35,83,14,14.16,few clouds
84,Hilo,US,19.7297,-155.09,76.28,84,74,3.4,light rain
85,Huaicheng,CN,23.9051,112.1931,78.69,81,49,1.41,light rain
86,Khatanga,RU,71.9667,102.5,30.79,94,100,9.46,overcast clouds
87,Disna,BY,55.568,28.1971,39.2,98,100,8.72,overcast clouds
88,Barrow,US,71.2906,-156.7887,28.42,92,100,19.82,light snow
89,Lodwar,KE,3.1191,35.5973,92.32,29,3,10.65,clear sky
90,Beloha,MG,-25.1667,45.05,70.09,62,22,8.5,few clouds
91,Poum,NC,-20.2333,164.0167,73.83,70,98,8.48,overcast clouds
92,Fairlie,GB,55.756,-4.8556,66.11,82,100,7.0,overcast clouds
93,Edd,ER,13.9297,41.6925,90.81,64,27,8.97,scattered clouds
94,Mahebourg,MU,-20.4081,57.7,70.25,68,23,14.03,few clouds
95,Tasiilaq,GL,65.6145,-37.6368,30.67,56,100,4.97,overcast clouds
96,Guerrero Negro,MX,27.9769,-114.0611,77.77,53,5,4.61,clear sky
97,Severo-Kurilsk,RU,50.6789,156.125,48.58,86,56,15.14,broken clouds
98,Georgetown,MY,5.4112,100.3354,80.89,84,98,5.64,overcast clouds
99,Riyadh,SA,24.6877,46.7219,91.71,10,0,9.95,clear sky
100,Upernavik,GL,72.7868,-56.1549,23.68,54,13,5.3,few clouds
101,Caborca,MX,30.5838,-111.101,83.91,33,0,2.95,clear sky
102,Altay,CN,47.8667,88.1167,41.11,39,80,4.21,broken clouds
103,Hasaki,JP,35.7333,140.8333,73.44,87,72,2.59,broken clouds
104,Acapulco,MX,16.8634,-99.8901,82.98,74,43,2.91,scattered clouds
105,Atambua,ID,-9.1061,124.8925,72.72,85,98,5.7,overcast clouds
106,Brae,GB,60.3964,-1.353,56.08,86,100,27.94,overcast clouds
107,Ternate,ID,0.8,127.4,79.99,81,100,7.72,overcast clouds
108,Ponta Do Sol,PT,32.6667,-17.1,79.12,48,72,1.52,broken clouds
109,Nenjiang,CN,49.1833,125.2167,53.78,85,100,12.84,light rain
110,Safford,US,32.834,-109.7076,78.93,21,0,1.43,clear sky
111,Avarua,CK,-21.2078,-159.775,75.29,75,100,2.57,light rain
112,Richards Bay,ZA,-28.783,32.0377,64.65,61,96,13.76,overcast clouds
113,Jinchang,CN,38.4953,102.1739,70.99,22,100,5.14,overcast clouds
114,Bubaque,GW,11.2833,-15.8333,81.75,76,36,6.13,scattered clouds
115,Umm Kaddadah,SD,13.6017,26.6876,97.56,15,66,6.22,broken clouds
116,Chuy,UY,-33.6971,-53.4616,58.19,64,2,16.02,clear sky
117,Yellowknife,CA,62.456,-114.3525,43.84,81,100,16.33,overcast clouds
118,Saskylakh,RU,71.9167,114.0833,33.44,92,100,6.08,overcast clouds
119,Atuona,PF,-9.8,-139.0333,77.2,78,18,20.87,light rain
120,San Clemente,US,33.427,-117.612,89.78,83,0,2.91,clear sky
121,Aksu,CN,41.1231,80.2644,75.79,20,0,3.33,clear sky
122,Litovko,RU,49.2361,135.1742,51.06,97,100,6.24,moderate rain
123,Wejherowo,PL,54.6057,18.2356,53.83,81,100,3.0,light rain
124,Avera,US,33.194,-82.5271,79.75,87,98,4.59,overcast clouds
125,Grand Forks,US,47.9417,-97.4337,57.78,39,6,10.96,clear sky
126,Raton,US,36.9034,-104.4391,47.07,64,100,5.08,overcast clouds
127,Mount Gambier,AU,-37.8333,140.7667,50.2,93,96,7.87,overcast clouds
128,Krasnoarmeysk,RU,51.0239,45.6969,59.29,89,100,5.82,overcast clouds
129,Aasiaat,GL,68.7098,-52.8699,27.34,91,79,5.23,broken clouds
130,Almonte,ES,37.2647,-6.5167,90.27,27,0,3.42,clear sky
131,Rafaela,AR,-31.2503,-61.4867,69.06,25,49,5.99,scattered clouds
132,Smithers,CA,54.7804,-127.1743,48.49,96,99,2.17,overcast clouds
133,Carnarvon,AU,-24.8667,113.6333,70.66,58,0,14.03,clear sky
134,Mar Del Plata,AR,-38.0023,-57.5575,55.06,55,0,8.43,clear sky
135,Portland,US,45.5234,-122.6762,65.86,76,0,1.01,clear sky
136,Merauke,ID,-8.4667,140.3333,77.16,86,100,13.8,overcast clouds
137,Magadan,RU,59.5667,150.8,41.47,82,100,10.63,light rain
138,Huarmey,PE,-10.0681,-78.1522,68.65,70,14,11.03,few clouds
139,Holme,DK,56.1138,10.1725,60.64,72,100,15.32,overcast clouds
140,Vila Franca Do Campo,PT,37.7167,-25.4333,73.96,62,26,8.43,scattered clouds
141,Deshnok,IN,27.7986,73.3447,91.06,50,74,8.34,broken clouds
142,Zlobin,HR,45.2924,14.6541,61.38,55,1,10.71,clear sky
143,Cobija,BO,-11.0267,-68.7692,104.25,25,10,1.66,clear sky
144,Te Anau,NZ,-45.4167,167.7167,37.8,94,61,2.48,broken clouds
145,Yerbogachen,RU,61.2767,108.0108,39.27,83,100,5.88,overcast clouds
146,Ancud,CL,-41.8697,-73.8203,54.5,61,0,1.86,clear sky
